ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
5	./Images/府中市美術館/479px-MatsumotoShunsuke_Building_Seen_from_the_Side.png	0,30,98.75	1,0,0	0,1,0	0,0,1	-31.50206	-3	0.2	0.5	Wooden_thin2	-1:-1	4
6	./Images/府中市美術館/wrk_2_auth.png	0,30,98.75	1,0,0	0,1,0	0,0,1	-20.77161	-10.308	0.2	1	Wooden_thin2	-1:-1	5
7	./Images/府中市美術館/800px-Group_of_Girls_Dancing_by_Aoki_Shigeru.jpg	0,30,98.75	1,0,0	0,1,0	0,0,1	24.53524	-3	0.2	1	Metal	-1:-1	6
8	./Images/府中市美術館/wrk_3_auth.png	0,30,98.75	1,0,0	0,1,0	0,0,1	37.09698	-10.245	0.2	1	Wooden_thin2	-1:-1	7
9	./Images/府中市美術館/Aimitsu-1944-Flowers.png	58.5,30,50	0,0,-1	0,1,0	1,0,0	-14.04506	-3	0.2	0.5	Metal_Vertical	-1:-1	8
10	./Images/府中市美術館/wrk_0_auth.png	58.5,30,50	0,0,-1	0,1,0	1,0,0	-0.6564575	-11.0325	0.2	1	Wooden_thin2	-1:-1	9
11	./Images/府中市美術館/Miho_no_Matsubara_by_Wada_Eisaku_(Fuchu_Art_Museum).jpg	-58.5,30,50	0,0,1	0,1,0	-1,0,0	-6.310253	-2.055	0.2	2	WoodenWhite	-1:-1	10
12	./Images/府中市美術館/wrk_1_auth.png	-58.5,30,50	0,0,1	0,1,0	-1,0,0	13.42495	-9.961499	0.2	1	Wooden_thin2	-1:-1	11
13	./Images/府中市美術館/府中市美術館1.jpg	-37.5,30,0.5	-1,0,0	0,1,0	0,0,-1	0.3213196	-3	0.2	3	Wooden_thin	-1:-1	12
14	./Images/府中市美術館/府中市美術館.jpg	37.5,30,0.5	-1,0,0	0,1,0	0,0,-1	3.492313	-5.1105	0.2	1	Wooden_thin	-1:-1	13
